Country Code,Short Name,Region,year,GDPPerCapita,GDPperCapitaPPP,Homicide,HomicideFemale,HomicideFemale,Population
MWI,Malawi,Sub-Saharan Africa,1999,390,878,,,,"11,044,356"
MYS,Malaysia,East Asia & Pacific,1999,"6,590","15,333",3,,,"22,656,286"
NAM,Namibia,Sub-Saharan Africa,1999,"3,744","6,102",20,,,"1,858,042"
NCL,New Caledonia,East Asia & Pacific,1999,,,,,,"209,214"
NER,Niger,Sub-Saharan Africa,1999,339,792,,,,"10,947,829"
NGA,Nigeria,Sub-Saharan Africa,1999,"1,350","2,995",,,,"119,327,073"
NIC,Nicaragua,Latin America & Caribbean,1999,"1,273","3,360",11,,,"4,949,660"
NLD,Netherlands,Europe & Central Asia,1999,"44,575","40,333",1,,,"15,812,088"
NOR,Norway,Europe & Central Asia,1999,"79,688","56,609",1,,,"4,461,913"
NPL,Nepal,South Asia,1999,440,"1,477",3,,,"23,305,994"
NRU,Nauru,East Asia & Pacific,1999,,,,,,"10,040"
NZL,New Zealand,East Asia & Pacific,1999,"28,491","27,161",1,,,"3,835,100"
OMN,Oman,Middle East & North Africa,1999,"17,843","41,955",,,,"2,254,918"
PAK,Pakistan,South Asia,1999,833,"3,429",7,,,"135,405,584"
PAN,Panama,Latin America & Caribbean,1999,"5,455","10,550",10,,,"2,971,197"
PER,Peru,Latin America & Caribbean,1999,"3,269","6,479",,,,"25,561,299"
PHL,Philippines,East Asia & Pacific,1999,"1,573","4,133",8,,,"76,335,812"
PLW,Palau,East Asia & Pacific,1999,,,,,,"18,879"
PNG,Papua New Guinea,East Asia & Pacific,1999,"1,815","2,889",,,,"5,430,479"
POL,Poland,Europe & Central Asia,1999,"8,069","13,944",5,,,"38,660,271"
PRI,Puerto Rico,Latin America & Caribbean,1999,"23,460","30,106",16,,,"3,800,081"
PRK,Dem. People's Rep. Korea,East Asia & Pacific,1999,,,,,,"22,731,985"
PRT,Portugal,Europe & Central Asia,1999,"20,875","25,227",1,,,"10,217,828"
PRY,Paraguay,Latin America & Caribbean,1999,"3,744","8,372",12,,,"5,196,937"
PSE,West Bank and Gaza,Middle East & North Africa,1999,"2,423","4,787",2,,,"2,848,431"
PYF,French Polynesia,East Asia & Pacific,1999,,,,,,"232,952"
QAT,Qatar,Middle East & North Africa,1999,,,1,,,"569,447"
ROU,Romania,Europe & Central Asia,1999,"4,777","10,164",3,,,"22,472,040"
RUS,Russia,Europe & Central Asia,1999,"5,876","12,720",,,,"147,214,392"
RWA,Rwanda,Sub-Saharan Africa,1999,319,775,,,,"7,593,239"
SAU,Saudi Arabia,Middle East & North Africa,1999,"17,691","41,722",1,,,"20,294,406"
SDN,Sudan,Sub-Saharan Africa,1999,970,"2,211",,,,"26,607,042"
SEN,Senegal,Sub-Saharan Africa,1999,"1,097","2,380",,,,"9,645,957"
SGP,Singapore,East Asia & Pacific,1999,"31,198","48,311",1,,,"3,958,723"
SLB,Solomon Islands,East Asia & Pacific,1999,"1,502","2,177",,,,"401,538"
SLE,Sierra Leone,Sub-Saharan Africa,1999,293,880,,,,"4,437,803"
SLV,El Salvador,Latin America & Caribbean,1999,"2,676","5,634",65,,,"5,825,187"
SMR,San Marino,Europe & Central Asia,1999,"69,744","74,922",,,,"27,096"
SOM,Somalia,Sub-Saharan Africa,1999,,,,,,"8,720,231"
SRB,Serbia,Europe & Central Asia,1999,"3,150","7,386",,,,"7,540,401"
SSD,South Sudan,Sub-Saharan Africa,1999,,,,,,"6,405,864"
STP,São Tomé and Principe,Sub-Saharan Africa,1999,,,,,,"135,886"
SUR,Suriname,Latin America & Caribbean,1999,"5,656","9,681",,,,"467,003"
SVK,Slovak Republic,Europe & Central Asia,1999,"10,160","15,398",3,,,"5,396,020"
SVN,Slovenia,Europe & Central Asia,1999,"17,883","21,881",1,,,"1,983,045"
SWE,Sweden,Europe & Central Asia,1999,"42,742","35,245",1,,,"8,857,874"
SWZ,Eswatini,Sub-Saharan Africa,1999,"2,946","5,825",,,,"1,045,629"
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,1999,,,,,,"31,084"
SYC,Seychelles,Sub-Saharan Africa,1999,"9,731","18,341",,,,"80,410"
SYR,Syrian Arab Republic,Middle East & North Africa,1999,,,2,,,"16,016,092"
TCA,Turks and Caicos Islands,Latin America & Caribbean,1999,,,0,,,"17,864"
TCD,Chad,Sub-Saharan Africa,1999,484,"1,039",,,,"8,041,846"
TGO,Togo,Sub-Saharan Africa,1999,546,"1,271",,,,"4,825,704"
THA,Thailand,East Asia & Pacific,1999,"3,345","8,889",8,,,"62,306,651"
TJK,Tajikistan,Europe & Central Asia,1999,390,"1,112",6,,,"6,114,886"
TKM,Turkmenistan,Europe & Central Asia,1999,"2,283","5,113",7,,,"4,466,132"
TLS,Timor-Leste,East Asia & Pacific,1999,,,,,,"863,269"
TON,Tonga,East Asia & Pacific,1999,"3,185","4,474",,,,"97,591"
TTO,Trinidad and Tobago,Latin America & Caribbean,1999,"9,171","17,184",,,,"1,264,775"
TUN,Tunisia,Middle East & North Africa,1999,"2,898","7,305",,,,"9,603,742"
TUR,Turkey,Europe & Central Asia,1999,"7,843","13,198",,,,"62,287,326"
TUV,Tuvalu,East Asia & Pacific,1999,"3,135","3,098",,,,"9,345"
TZA,Tanzania,Sub-Saharan Africa,1999,503,"1,506",,,,"33,291,540"
UGA,Uganda,Sub-Saharan Africa,1999,413,"1,051",,,,"23,272,995"
UKR,Ukraine,Europe & Central Asia,1999,"1,700","4,485",9,,,"49,673,350"
URY,Uruguay,Latin America & Caribbean,1999,"9,208","13,175",,,,"3,309,318"
USA,United States,North America,1999,"43,769","44,683",6,,,"279,040,000"
UZB,Uzbekistan,Europe & Central Asia,1999,794,"2,446",4,,,"24,311,650"
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,1999,"4,672","7,434",13,,,"107,880"
VEN,Venezuela,Latin America & Caribbean,1999,"11,598","14,166",25,,,"24,028,689"
VGB,British Virgin Islands,Latin America & Caribbean,1999,,,5,,,"20,188"
VIR,Virgin Islands,Latin America & Caribbean,1999,,,25,,,"108,599"
VNM,Vietnam,East Asia & Pacific,1999,721,"2,426",,,,"79,391,374"
VUT,Vanuatu,East Asia & Pacific,1999,"2,736","2,720",,,,"181,345"
WSM,Samoa,East Asia & Pacific,1999,"2,600","4,066",,,,"173,755"
XKX,Kosovo,Europe & Central Asia,1999,,,,,,"1,762,000"
YEM,Yemen,Middle East & North Africa,1999,"1,103","3,772",,,,"17,378,098"
ZAF,South Africa,Sub-Saharan Africa,1999,"5,687","9,291",51,,,"45,058,775"
ZMB,Zambia,Sub-Saharan Africa,1999,929,"2,082",11,,,"10,239,714"
ZWE,Zimbabwe,Sub-Saharan Africa,1999,"1,472","2,993",,,,"12,064,537"
ABW,Aruba,Latin America & Caribbean,2000,"28,417","41,621",,,,"90,853"
AFG,Afghanistan,South Asia,2000,,,,,,"20,093,756"
AGO,Angola,Sub-Saharan Africa,2000,"2,190","3,882",,,,"16,440,924"
ALB,Albania,Europe & Central Asia,2000,"2,245","5,442",4,1,7,"3,089,027"
AND,Andorra,Europe & Central Asia,2000,"40,802",,,,,"65,390"
ARE,United Arab Emirates,Middle East & North Africa,2000,"62,833","102,635",,,,"3,154,925"
ARG,Argentina,Latin America & Caribbean,2000,"8,183","14,900",,,,"37,057,452"
ARM,Armenia,Europe & Central Asia,2000,"1,404","2,925",3,2,5,"3,069,588"
ASM,American Samoa,East Asia & Pacific,2000,,,,,,"57,521"
ATG,Antigua and Barbuda,Latin America & Caribbean,2000,"11,982","18,908",6,,,"83,584"
AUS,Australia,East Asia & Pacific,2000,"44,313","35,378",2,1,2,"19,153,000"
AUT,Austria,Europe & Central Asia,2000,"42,001","38,844",1,1,1,"8,011,566"
AZE,Azerbaijan,Europe & Central Asia,2000,"1,633","4,459",3,,,"8,048,600"
BDI,Burundi,Sub-Saharan Africa,2000,228,716,,,,"6,400,706"
BEL,Belgium,Europe & Central Asia,2000,"40,170","37,189",2,2,3,"10,251,250"
BEN,Benin,Sub-Saharan Africa,2000,694,"1,666",7,,,"6,865,951"
BFA,Burkina Faso,Sub-Saharan Africa,2000,435,"1,075",,,,"11,607,942"
BGD,Bangladesh,South Asia,2000,509,"1,642",3,,,"131,581,243"
BGR,Bulgaria,Europe & Central Asia,2000,"3,955","8,833",4,2,6,"8,170,172"
BHR,Bahrain,Middle East & North Africa,2000,"22,955","44,942",,,,"664,614"
BHS,The Bahamas,Latin America & Caribbean,2000,"31,588","32,991",25,11,40,"297,890"
BIH,Bosnia and Herzegovina,Europe & Central Asia,2000,"3,003","6,325",3,1,4,"3,766,706"
BLR,Belarus,Europe & Central Asia,2000,"2,879","7,574",10,,,"9,979,610"
BLZ,Belize,Latin America & Caribbean,2000,"3,837","6,954",17,,,"247,315"
BMU,Bermuda,North America,2000,"79,988","51,140",0,,,"61,833"
BOL,Bolivia,Latin America & Caribbean,2000,"1,617","4,412",,,,"8,339,512"
BRA,Brazil,Latin America & Caribbean,2000,"8,778","11,371",24,4,44,"175,287,587"
BRB,Barbados,Latin America & Caribbean,2000,"15,277","15,487",7,4,12,"269,847"
BRN,Brunei,East Asia & Pacific,2000,"35,923","82,050",1,1,1,"333,241"
BTN,Bhutan,South Asia,2000,"1,201","3,539",3,,,"573,416"
BWA,Botswana,Sub-Saharan Africa,2000,"4,955","10,191",,,,"1,728,340"
CAF,Central African Republic,Sub-Saharan Africa,2000,412,813,,,,"3,754,986"
CAN,Canada,North America,2000,"43,638","37,432",2,1,3,"30,769,700"
CHE,Switzerland,Europe & Central Asia,2000,"67,808","50,776",1,1,1,"7,184,250"
CHI,Channel Islands,Europe & Central Asia,2000,,,,,,"148,725"
CHL,Chile,Latin America & Caribbean,2000,"9,469","14,315",,,,"15,262,754"
CHN,China,East Asia & Pacific,2000,"1,772","3,701",2,,,"1,262,645,000"
CIV,Côte d'Ivoire,Sub-Saharan Africa,2000,"1,336","2,948",16,,,"16,686,561"
CMR,Cameroon,Sub-Saharan Africa,2000,"1,163","2,604",3,,,"15,274,234"
COD,Dem. Rep. Congo,Sub-Saharan Africa,2000,290,573,14,,,"47,076,387"
COG,Congo,Sub-Saharan Africa,2000,"2,365","4,480",11,,,"3,225,727"
COL,Colombia,Latin America & Caribbean,2000,"4,765","8,252",66,9,123,"40,403,958"
COM,Comoros,Sub-Saharan Africa,2000,"1,295","2,389",10,,,"542,357"
CPV,Cabo Verde,Sub-Saharan Africa,2000,"2,180","3,835",,,,"435,079"
CRI,Costa Rica,Latin America & Caribbean,2000,"6,230","9,878",6,2,11,"3,925,443"
CUB,Cuba,Latin America & Caribbean,2000,"3,473",,5,3,8,"11,150,736"
CUW,Curaçao,Latin America & Caribbean,2000,,,,,,"133,860"
CYM,Cayman Islands,Latin America & Caribbean,2000,,"61,627",10,,,"41,687"
CYP,Cyprus,Europe & Central Asia,2000,"26,688","29,368",1,,,"943,286"
CZE,Czech Republic,Europe & Central Asia,2000,"14,807","21,194",2,1,3,"10,255,063"
DEU,Germany,Europe & Central Asia,2000,"37,998","36,765",1,1,1,"82,211,508"
DJI,Djibouti,Middle East & North Africa,2000,,,9,,,"717,584"
DMA,Dominica,Latin America & Caribbean,2000,"5,577","8,227",3,,,"69,676"
DNK,Denmark,Europe & Central Asia,2000,"55,851","42,338",1,1,1,"5,339,616"
DOM,Dominican Republic,Latin America & Caribbean,2000,"4,017","8,200",14,,,"8,562,622"
DZA,Algeria,Middle East & North Africa,2000,"3,541","10,211",,,,"31,183,660"
ECU,Ecuador,Latin America & Caribbean,2000,"3,679","7,388",15,2,27,"12,628,596"
EGY,Egypt,Middle East & North Africa,2000,"1,951","7,389",,,,"69,905,988"
ERI,Eritrea,Sub-Saharan Africa,2000,572,"1,679",10,,,"3,392,801"
ESP,Spain,Europe & Central Asia,2000,"28,335","29,967",1,,,"40,567,864"
EST,Estonia,Europe & Central Asia,2000,"10,108","15,703",10,3,18,"1,396,985"
ETH,Ethiopia,Sub-Saharan Africa,2000,197,618,11,,,"66,537,331"
FIN,Finland,Europe & Central Asia,2000,"40,450","34,887",3,2,4,"5,176,209"
FJI,Fiji,East Asia & Pacific,2000,"3,315","6,674",,,,"811,223"
FRA,France,Europe & Central Asia,2000,"38,461","34,842",2,,,"60,912,500"
FRO,Faroe Islands,Europe & Central Asia,2000,,,,,,"47,258"
FSM,Micronesia,East Asia & Pacific,2000,"2,707","3,119",4,,,"107,432"
GAB,Gabon,Sub-Saharan Africa,2000,"10,138","17,783",11,,,"1,231,122"
GBR,United Kingdom,Europe & Central Asia,2000,"35,577","33,236",2,,,"58,892,514"
GEO,Georgia,Europe & Central Asia,2000,"1,553","3,527",5,,,"4,077,131"
GHA,Ghana,Sub-Saharan Africa,2000,969,"2,259",,,,"18,938,762"
GIB,Gibraltar,Europe & Central Asia,2000,,,,,,"31,180"
GIN,Guinea,Sub-Saharan Africa,2000,573,"1,421",11,,,"8,808,546"
GMB,The Gambia,Sub-Saharan Africa,2000,530,"1,550",12,,,"1,231,844"
GNB,Guinea-Bissau,Sub-Saharan Africa,2000,531,"1,363",13,,,"1,243,229"
GNQ,Equatorial Guinea,Sub-Saharan Africa,2000,"5,484","10,793",3,,,"614,323"
GRC,Greece,Europe & Central Asia,2000,"23,275","24,839",,,,"10,805,808"
GRD,Grenada,Latin America & Caribbean,2000,"6,360","9,652",15,,,"101,619"
GRL,Greenland,Europe & Central Asia,2000,"32,193",,23,,,"56,200"
GTM,Guatemala,Latin America & Caribbean,2000,"2,555","6,071",25,,,"11,650,743"
GUM,Guam,East Asia & Pacific,2000,,,1,,,"155,329"
GUY,Guyana,Latin America & Caribbean,2000,"2,383","4,576",10,,,"753,301"
HKG,"Hong Kong SAR, China",East Asia & Pacific,2000,"23,016","34,017",1,,,"6,665,000"
HND,Honduras,Latin America & Caribbean,2000,"1,620","3,329",49,,,"6,524,283"
HRV,Croatia,Europe & Central Asia,2000,"10,464","15,591",2,1,3,"4,468,302"
HTI,Haiti,Latin America & Caribbean,2000,767,"1,739",,,,"8,549,200"
HUN,Hungary,Europe & Central Asia,2000,"10,490","17,952",2,2,2,"10,210,971"
IDN,Indonesia,East Asia & Pacific,2000,"2,143","5,806",1,,,"211,540,429"
IMN,Isle of Man,Europe & Central Asia,2000,"48,268",,,,,"72,554"
IND,India,South Asia,2000,829,"2,719",5,3,6,"1,053,050,912"
IRL,Ireland,Europe & Central Asia,2000,"42,945","38,363",1,0,2,"3,805,174"
IRN,Iran,Middle East & North Africa,2000,"4,782","13,135",,,,"66,131,854"
IRQ,Iraq,Middle East & North Africa,2000,"4,311","12,177",,,,"23,565,413"
ISL,Iceland,Europe & Central Asia,2000,"36,555","34,101",2,,,"281,205"
ISR,Israel,Middle East & North Africa,2000,"27,636","26,741",2,1,4,"6,289,000"
ITA,Italy,Europe & Central Asia,2000,"36,181","36,536",1,1,2,"56,942,108"
JAM,Jamaica,Latin America & Caribbean,2000,"4,647","7,934",33,,,"2,656,864"
JOR,Jordan,Middle East & North Africa,2000,"2,810","7,235",,,,"5,103,130"
JPN,Japan,East Asia & Pacific,2000,"42,170","33,872",1,,,"126,843,000"
KAZ,Kazakhstan,Europe & Central Asia,2000,"4,492","9,952",15,,,"14,883,626"
KEN,Kenya,Sub-Saharan Africa,2000,833,"2,132",,,,"31,450,483"
KGZ,Kyrgyz Republic,Europe & Central Asia,2000,654,"2,075",9,3,15,"4,898,400"
KHM,Cambodia,East Asia & Pacific,2000,431,"1,385",5,,,"12,152,354"
KIR,Kiribati,East Asia & Pacific,2000,"1,722","1,989",4,,,"84,406"
KNA,St. Kitts and Nevis,Latin America & Caribbean,2000,"13,597","21,360",7,,,"45,374"
KOR,Korea,East Asia & Pacific,2000,"15,105","20,757",,,,"47,008,111"
KWT,Kuwait,Middle East & North Africa,2000,"35,793","69,920",,,,"2,050,741"
LAO,Lao PDR,East Asia & Pacific,2000,672,"2,485",11,,,"5,329,304"
LBN,Lebanon,Middle East & North Africa,2000,"6,790","12,610",,,,"3,235,366"
LBR,Liberia,Sub-Saharan Africa,2000,607,"1,301",,,,"2,884,522"
LBY,Libya,Middle East & North Africa,2000,"8,967","21,922",4,,,"5,355,751"
LCA,St. Lucia,Latin America & Caribbean,2000,"7,238","10,655",15,3,27,"156,949"
LIE,Liechtenstein,Europe & Central Asia,2000,,,0,,,"33,286"
LKA,Sri Lanka,South Asia,2000,"1,825","5,542",,,,"18,781,938"
LSO,Lesotho,Sub-Saharan Africa,2000,871,"1,781",,,,"1,868,699"
LTU,Lithuania,Europe & Central Asia,2000,"6,934","12,190",11,5,16,"3,499,536"
LUX,Luxembourg,Europe & Central Asia,2000,"93,463","81,690",1,,,"436,300"
LVA,Latvia,Europe & Central Asia,2000,"6,935","11,175",10,,,"2,367,550"
MAC,"Macao SAR, China",East Asia & Pacific,2000,"22,524","42,225",2,,,"427,979"
MAF,St. Martin (French part),Latin America & Caribbean,2000,,,,,,"28,384"
MAR,Morocco,Middle East & North Africa,2000,"1,972","4,484",2,,,"28,849,621"
MCO,Monaco,Europe & Central Asia,2000,"138,982",,,,,"32,082"
MDA,Moldova,Europe & Central Asia,2000,968,"2,321",10,5,16,"3,639,592"
MDG,Madagascar,Sub-Saharan Africa,2000,430,"1,444",11,,,"15,766,806"
MDV,Maldives,South Asia,2000,"5,777","9,768",,,,"280,384"
MEX,Mexico,Latin America & Caribbean,2000,"8,997","15,683",11,3,19,"101,719,673"
MHL,Marshall Islands,East Asia & Pacific,2000,"2,617","2,894",,,,"52,159"
MKD,North Macedonia,Europe & Central Asia,2000,"3,449","8,621",2,1,3,"2,034,819"
MLI,Mali,Sub-Saharan Africa,2000,554,"1,463",13,,,"10,967,690"
MLT,Malta,Middle East & North Africa,2000,"18,307","24,619",1,,,"390,087"
MMR,Myanmar,East Asia & Pacific,2000,347,"1,306",2,,,"46,095,462"
MNE,Montenegro,Europe & Central Asia,2000,"4,952","10,403",,,,"604,950"
MNG,Mongolia,East Asia & Pacific,2000,"1,600","4,655",,,,"2,397,436"
MNP,Northern Mariana Islands,East Asia & Pacific,2000,,,,,,"69,094"
MOZ,Mozambique,Sub-Saharan Africa,2000,257,562,,,,"18,067,687"
MRT,Mauritania,Sub-Saharan Africa,2000,997,"2,751",14,,,"2,709,359"
MUS,Mauritius,Sub-Saharan Africa,2000,"5,560","11,077",2,2,2,"1,186,873"
MWI,Malawi,Sub-Saharan Africa,2000,385,866,6,,,"11,376,172"
MYS,Malaysia,East Asia & Pacific,2000,"7,010","16,310",2,,,"23,185,608"
NAM,Namibia,Sub-Saharan Africa,2000,"3,791","6,178",20,,,"1,899,257"
NCL,New Caledonia,East Asia & Pacific,2000,,,,,,"213,230"
NER,Niger,Sub-Saharan Africa,2000,322,753,,,,"11,352,973"
NGA,Nigeria,Sub-Saharan Africa,2000,"1,383","3,068",13,,,"122,352,009"
NIC,Nicaragua,Latin America & Caribbean,2000,"1,305","3,445",9,,,"5,026,796"
NLD,Netherlands,Europe & Central Asia,2000,"46,133","41,743",1,1,2,"15,925,513"
NOR,Norway,Europe & Central Asia,2000,"81,710","58,045",1,1,1,"4,490,967"
NPL,Nepal,South Asia,2000,459,"1,540",3,,,"23,740,911"
NRU,Nauru,East Asia & Pacific,2000,,,,,,"10,037"
NZL,New Zealand,East Asia & Pacific,2000,"28,973","27,620",1,1,2,"3,857,700"
OMN,Oman,Middle East & North Africa,2000,"18,698","43,966",,,,"2,267,991"
PAK,Pakistan,South Asia,2000,849,"3,495",6,,,"138,523,285"
PAN,Panama,Latin America & Caribbean,2000,"5,494","10,625",10,2,18,"3,030,347"
PER,Peru,Latin America & Caribbean,2000,"3,311","6,563",,,,"25,914,879"
PHL,Philippines,East Asia & Pacific,2000,"1,607","4,224",7,,,"77,991,569"
PLW,Palau,East Asia & Pacific,2000,"9,194","12,305",,,,"19,175"
PNG,Papua New Guinea,East Asia & Pacific,2000,"1,724","2,745",8,,,"5,572,222"
POL,Poland,Europe & Central Asia,2000,"8,525","14,732",2,1,3,"38,258,629"
PRI,Puerto Rico,Latin America & Caribbean,2000,"24,161","31,005",18,4,34,"3,810,605"
PRK,Dem. People's Rep. Korea,East Asia & Pacific,2000,,,7,,,"22,929,075"
PRT,Portugal,Europe & Central Asia,2000,"21,513","25,999",1,1,2,"10,289,898"
PRY,Paraguay,Latin America & Caribbean,2000,"3,584","8,015",19,,,"5,302,700"
PSE,West Bank and Gaza,Middle East & North Africa,2000,"2,160","4,203",,,,"2,922,153"
PYF,French Polynesia,East Asia & Pacific,2000,,,,,,"237,258"
QAT,Qatar,Middle East & North Africa,2000,"60,858","108,324",0,,,"592,267"
ROU,Romania,Europe & Central Asia,2000,"4,897","10,421",3,1,4,"22,442,971"
RUS,Russia,Europe & Central Asia,2000,"6,491","14,051",28,13,45,"146,596,557"
RWA,Rwanda,Sub-Saharan Africa,2000,327,794,,,,"8,025,703"
SAU,Saudi Arabia,Middle East & North Africa,2000,"18,263","43,071",1,,,"20,764,312"
SDN,Sudan,Sub-Saharan Africa,2000,"1,003","2,287",,,,"27,250,535"
SEN,Senegal,Sub-Saharan Africa,2000,"1,104","2,397",10,,,"9,884,052"
SGP,Singapore,East Asia & Pacific,2000,"33,390","51,706",1,,,"4,027,887"
SLB,Solomon Islands,East Asia & Pacific,2000,"1,253","1,817",,,,"412,609"
SLE,Sierra Leone,Sub-Saharan Africa,2000,304,913,,,,"4,564,297"
SLV,El Salvador,Latin America & Caribbean,2000,"2,686","5,656",61,,,"5,867,626"
SMR,San Marino,Europe & Central Asia,2000,"70,449","75,679",0,,,"27,418"
SOM,Somalia,Sub-Saharan Africa,2000,,,5,,,"9,011,479"
SRB,Serbia,Europe & Central Asia,2000,"3,406","7,985",2,1,4,"7,516,346"
SSD,South Sudan,Sub-Saharan Africa,2000,,,,,,"6,700,656"
STP,São Tomé and Principe,Sub-Saharan Africa,2000,,,,,,"138,606"
SUR,Suriname,Latin America & Caribbean,2000,"5,709","9,771",14,,,"472,390"
SVK,Slovak Republic,Europe & Central Asia,2000,"10,297","15,605",2,1,4,"5,388,720"
SVN,Slovenia,Europe & Central Asia,2000,"18,571","22,723",2,,,"1,988,925"
SWE,Sweden,Europe & Central Asia,2000,"44,694","36,854",1,1,1,"8,872,109"
SWZ,Eswatini,Sub-Saharan Africa,2000,"2,953","5,839",,,,"1,061,468"
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,2000,,,,,,"30,519"
SYC,Seychelles,Sub-Saharan Africa,2000,"9,790","18,453",,,,"81,131"
SYR,Syrian Arab Republic,Middle East & North Africa,2000,,,2,,,"16,410,848"
TCA,Turks and Caicos Islands,Latin America & Caribbean,2000,,,0,,,"18,873"
TCD,Chad,Sub-Saharan Africa,2000,463,993,11,,,"8,342,559"
TGO,Togo,Sub-Saharan Africa,2000,526,"1,224",11,,,"4,970,367"
THA,Thailand,East Asia & Pacific,2000,"3,458","9,189",8,3,14,"62,958,021"
TJK,Tajikistan,Europe & Central Asia,2000,415,"1,185",5,,,"6,216,205"
TKM,Turkmenistan,Europe & Central Asia,2000,"2,381","5,333",6,,,"4,516,131"
TLS,Timor-Leste,East Asia & Pacific,2000,"1,345","3,307",,,,"871,607"
TON,Tonga,East Asia & Pacific,2000,"3,276","4,602",1,0,2,"98,082"
TTO,Trinidad and Tobago,Latin America & Caribbean,2000,"9,779","18,324",9,,,"1,267,984"
TUN,Tunisia,Middle East & North Africa,2000,"3,005","7,574",,,,"9,699,197"
TUR,Turkey,Europe & Central Asia,2000,"8,238","13,862",,,,"63,240,121"
TUV,Tuvalu,East Asia & Pacific,2000,"3,080","3,043",,,,"9,420"
TZA,Tanzania,Sub-Saharan Africa,2000,512,"1,534",,,,"34,178,042"
UGA,Uganda,Sub-Saharan Africa,2000,412,"1,050",,,,"24,039,274"
UKR,Ukraine,Europe & Central Asia,2000,"1,818","4,797",9,5,14,"49,175,848"
URY,Uruguay,Latin America & Caribbean,2000,"8,998","12,875",6,,,"3,321,245"
USA,United States,North America,2000,"45,056","45,997",6,3,9,"282,162,411"
UZB,Uzbekistan,Europe & Central Asia,2000,813,"2,504",4,,,"24,650,400"
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,2000,"4,748","7,555",19,,,"107,898"
VEN,Venezuela,Latin America & Caribbean,2000,"11,800","14,413",33,4,61,"24,488,340"
VGB,British Virgin Islands,Latin America & Caribbean,2000,,,,,,"20,645"
VIR,Virgin Islands,Latin America & Caribbean,2000,,,21,5,38,"108,642"
VNM,Vietnam,East Asia & Pacific,2000,762,"2,562",,,,"80,285,562"
VUT,Vanuatu,East Asia & Pacific,2000,"2,840","2,823",3,,,"185,063"
WSM,Samoa,East Asia & Pacific,2000,"2,767","4,326",,,,"174,610"
XKX,Kosovo,Europe & Central Asia,2000,"1,920","4,626",,,,"1,700,000"
YEM,Yemen,Middle East & North Africa,2000,"1,138","3,894",4,,,"17,874,725"
ZAF,South Africa,Sub-Saharan Africa,2000,"5,839","9,539",48,,,"45,728,315"
ZMB,Zambia,Sub-Saharan Africa,2000,938,"2,103",8,,,"10,531,221"
ZWE,Zimbabwe,Sub-Saharan Africa,2000,"1,409","2,864",,,,"12,222,251"
ABW,Aruba,Latin America & Caribbean,2001,"26,966","39,496",4,4,4,"92,898"
AFG,Afghanistan,South Asia,2001,,,,,,"20,966,463"
AGO,Angola,Sub-Saharan Africa,2001,"2,209","3,916",,,,"16,983,266"
ALB,Albania,Europe & Central Asia,2001,"2,454","5,949",7,3,11,"3,060,173"
AND,Andorra,Europe & Central Asia,2001,"41,421",,,,,"67,341"
ARE,United Arab Emirates,Middle East & North Africa,2001,"60,435","98,717",,,,"3,326,032"
ARG,Argentina,Latin America & Caribbean,2001,"7,735","14,086",,,,"37,471,509"
ARM,Armenia,Europe & Central Asia,2001,"1,548","3,224",3,1,5,"3,050,655"
ASM,American Samoa,East Asia & Pacific,2001,,,2,,,"58,175"
ATG,Antigua and Barbuda,Latin America & Caribbean,2001,"11,191","17,661",8,2,16,"85,057"
AUS,Australia,East Asia & Pacific,2001,"44,565","35,579",2,1,2,"19,413,000"
AUT,Austria,Europe & Central Asia,2001,"42,371","39,186",1,1,1,"8,042,293"
AZE,Azerbaijan,Europe & Central Asia,2001,"1,781","4,863",3,,,"8,111,200"
BDI,Burundi,Sub-Saharan Africa,2001,228,713,,,,"6,555,829"
BEL,Belgium,Europe & Central Asia,2001,"40,357","37,362",3,2,4,"10,286,570"
BEN,Benin,Sub-Saharan Africa,2001,709,"1,703",,,,"7,076,733"
BFA,Burkina Faso,Sub-Saharan Africa,2001,450,"1,114",,,,"11,944,587"
BGD,Bangladesh,South Asia,2001,525,"1,693",3,,,"134,107,160"
BGR,Bulgaria,Europe & Central Asia,2001,"4,187","9,351",4,2,6,"8,009,142"
BHR,Bahrain,Middle East & North Africa,2001,"22,416","43,887",1,,,"697,549"
BHS,The Bahamas,Latin America & Caribbean,2001,"31,856","33,271",14,3,26,"303,135"
BIH,Bosnia and Herzegovina,Europe & Central Asia,2001,"3,131","6,595",2,2,3,"3,771,284"
BLR,Belarus,Europe & Central Asia,2001,"3,031","7,973",10,,,"9,928,549"
BLZ,Belize,Latin America & Caribbean,2001,"3,909","7,083",25,,,"254,984"
BMU,Bermuda,North America,2001,"84,845","54,245",5,,,"62,504"
BOL,Bolivia,Latin America & Caribbean,2001,"1,613","4,404",,,,"8,496,375"
BRA,Brazil,Latin America & Caribbean,2001,"8,777","11,369",25,4,46,"177,750,670"
BRB,Barbados,Latin America & Caribbean,2001,"14,868","15,072",9,3,16,"270,685"
BRN,Brunei,East Asia & Pacific,2001,"36,163","82,597",,,,"340,117"
BTN,Bhutan,South Asia,2001,"1,264","3,724",3,,,"589,600"
