Country Code,Short Name,Region,year,GDPPerCapita,GDPperCapitaPPP,Homicide,HomicideFemale,HomicideFemale,Population
GNQ,Equatorial Guinea,Sub-Saharan Africa,1995,872,"1,715",,,,"504,871"
GRC,Greece,Europe & Central Asia,1995,"19,910","21,247",1,,,"10,562,153"
GRD,Grenada,Latin America & Caribbean,1995,"4,691","7,119",,,,"100,255"
GRL,Greenland,Europe & Central Asia,1995,"26,900",,,,,"55,800"
GTM,Guatemala,Latin America & Caribbean,1995,"2,356","5,598",33,,,"10,408,489"
GUM,Guam,East Asia & Pacific,1995,,,,,,"145,561"
GUY,Guyana,Latin America & Caribbean,1995,"2,060","3,956",15,,,"761,291"
HKG,"Hong Kong SAR, China",East Asia & Pacific,1995,"21,894","32,358",,,,"6,156,100"
HND,Honduras,Latin America & Caribbean,1995,"1,575","3,236",,,,"5,709,051"
HRV,Croatia,Europe & Central Asia,1995,"8,560","12,754",4,,,"4,620,030"
HTI,Haiti,Latin America & Caribbean,1995,741,"1,679",,,,"7,819,806"
HUN,Hungary,Europe & Central Asia,1995,"8,952","15,320",3,,,"10,328,965"
IDN,Indonesia,East Asia & Pacific,1995,"2,220","6,013",,,,"196,957,849"
IMN,Isle of Man,Europe & Central Asia,1995,"31,434",,,,,"70,070"
IND,India,South Asia,1995,677,"2,220",4,,,"960,482,795"
IRL,Ireland,Europe & Central Asia,1995,"28,962","25,872",1,,,"3,608,841"
IRN,Iran,Middle East & North Africa,1995,"4,528","12,439",,,,"60,575,644"
IRQ,Iraq,Middle East & North Africa,1995,"2,323","6,561",,,,"20,208,387"
ISL,Iceland,Europe & Central Asia,1995,,,0,,,"267,468"
ISR,Israel,Middle East & North Africa,1995,"24,592","23,795",2,,,"5,545,000"
ITA,Italy,Europe & Central Asia,1995,"32,830","33,152",2,,,"56,844,303"
JAM,Jamaica,Latin America & Caribbean,1995,"4,950","8,450",32,,,"2,537,440"
JOR,Jordan,Middle East & North Africa,1995,"2,678","6,895",,,,"4,572,904"
JPN,Japan,East Asia & Pacific,1995,"40,369","32,425",1,,,"125,439,000"
KAZ,Kazakhstan,Europe & Central Asia,1995,"3,738","8,283",15,,,"15,815,626"
KEN,Kenya,Sub-Saharan Africa,1995,861,"2,204",,,,"27,346,456"
KGZ,Kyrgyz Republic,Europe & Central Asia,1995,535,"1,696",12,,,"4,560,400"
KHM,Cambodia,East Asia & Pacific,1995,342,"1,098",4,,,"10,653,558"
KIR,Kiribati,East Asia & Pacific,1995,"1,623","1,874",,,,"77,730"
KNA,St. Kitts and Nevis,Latin America & Caribbean,1995,"11,218","17,622",9,,,"42,891"
KOR,Korea,East Asia & Pacific,1995,"12,055","16,566",,,,"45,092,991"
KWT,Kuwait,Middle East & North Africa,1995,"41,473","81,017",,,,"1,610,651"
LAO,Lao PDR,East Asia & Pacific,1995,547,"2,024",,,,"4,851,923"
LBN,Lebanon,Middle East & North Africa,1995,"6,162","11,444",,,,"3,033,394"
LBR,Liberia,Sub-Saharan Africa,1995,,,,,,"2,073,482"
LBY,Libya,Middle East & North Africa,1995,,,,,,"4,948,798"
LCA,St. Lucia,Latin America & Caribbean,1995,"6,912","10,175",,,,"147,044"
LIE,Liechtenstein,Europe & Central Asia,1995,,,0,,,"30,833"
LKA,Sri Lanka,South Asia,1995,"1,469","4,462",,,,"18,247,121"
LSO,Lesotho,Sub-Saharan Africa,1995,797,"1,628",,,,"1,761,359"
LTU,Lithuania,Europe & Central Asia,1995,"5,322","9,357",14,,,"3,629,102"
LUX,Luxembourg,Europe & Central Asia,1995,"74,777","65,358",0,,,"408,625"
LVA,Latvia,Europe & Central Asia,1995,"5,141","8,284",12,,,"2,485,056"
MAC,"Macao SAR, China",East Asia & Pacific,1995,"25,545","47,887",,,,"385,686"
MAF,St. Martin (French part),Latin America & Caribbean,1995,,,,,,"32,712"
MAR,Morocco,Middle East & North Africa,1995,"1,722","3,915",,,,"27,075,232"
MCO,Monaco,Europe & Central Asia,1995,"126,499",,,,,"30,691"
MDA,Moldova,Europe & Central Asia,1995,"1,087","2,605",9,,,"3,675,099"
MDG,Madagascar,Sub-Saharan Africa,1995,417,"1,400",,,,"13,475,400"
MDV,Maldives,South Asia,1995,"4,601","7,779",,,,"254,082"
MEX,Mexico,Latin America & Caribbean,1995,"7,522","13,111",17,,,"94,045,579"
MHL,Marshall Islands,East Asia & Pacific,1995,"3,176","3,511",,,,"51,015"
MKD,North Macedonia,Europe & Central Asia,1995,"3,057","7,641",,,,"1,983,252"
MLI,Mali,Sub-Saharan Africa,1995,496,"1,310",,,,"9,604,450"
MLT,Malta,Middle East & North Africa,1995,"14,737","19,818",,,,"377,419"
MMR,Myanmar,East Asia & Pacific,1995,246,927,,,,"43,237,792"
MNE,Montenegro,Europe & Central Asia,1995,,,,,,"611,712"
MNG,Mongolia,East Asia & Pacific,1995,"1,459","4,244",,,,"2,298,039"
MNP,Northern Mariana Islands,East Asia & Pacific,1995,,,,,,"56,278"
MOZ,Mozambique,Sub-Saharan Africa,1995,171,373,,,,"15,759,132"
MRT,Mauritania,Sub-Saharan Africa,1995,"1,037","2,862",,,,"2,327,075"
MUS,Mauritius,Sub-Saharan Africa,1995,"4,440","8,845",2,,,"1,122,457"
MWI,Malawi,Sub-Saharan Africa,1995,365,821,,,,"9,909,088"
MYS,Malaysia,East Asia & Pacific,1995,"6,275","14,601",2,,,"20,495,597"
NAM,Namibia,Sub-Saharan Africa,1995,"3,660","5,965",23,,,"1,655,359"
NCL,New Caledonia,East Asia & Pacific,1995,,,,,,"193,816"
NER,Niger,Sub-Saharan Africa,1995,336,785,,,,"9,477,333"
NGA,Nigeria,Sub-Saharan Africa,1995,"1,348","2,990",,,,"108,011,465"
NIC,Nicaragua,Latin America & Caribbean,1995,"1,113","2,938",15,,,"4,612,228"
NLD,Netherlands,Europe & Central Asia,1995,"38,439","34,781",2,,,"15,459,006"
NOR,Norway,Europe & Central Asia,1995,"70,458","50,052",1,,,"4,359,184"
NPL,Nepal,South Asia,1995,403,"1,352",,,,"21,396,384"
NRU,Nauru,East Asia & Pacific,1995,,,,,,"9,969"
NZL,New Zealand,East Asia & Pacific,1995,"26,279","25,052",1,,,"3,673,400"
OMN,Oman,Middle East & North Africa,1995,"16,296","38,317",,,,"2,204,283"
PAK,Pakistan,South Asia,1995,815,"3,358",,,,"122,829,148"
PAN,Panama,Latin America & Caribbean,1995,"4,786","9,257",14,,,"2,739,730"
PER,Peru,Latin America & Caribbean,1995,"3,141","6,226",,,,"24,038,760"
PHL,Philippines,East Asia & Pacific,1995,"1,507","3,960",,,,"69,835,715"
PLW,Palau,East Asia & Pacific,1995,,,,,,"17,253"
PNG,Papua New Guinea,East Asia & Pacific,1995,"1,984","3,159",,,,"4,894,276"
POL,Poland,Europe & Central Asia,1995,"6,539","11,300",2,,,"38,594,998"
PRI,Puerto Rico,Latin America & Caribbean,1995,"20,282","26,027",23,,,"3,683,103"
PRK,Dem. People's Rep. Korea,East Asia & Pacific,1995,,,,,,"21,862,299"
PRT,Portugal,Europe & Central Asia,1995,"18,081","21,851",,,,"10,026,176"
PRY,Paraguay,Latin America & Caribbean,1995,"3,910","8,744",,,,"4,760,850"
PSE,West Bank and Gaza,Middle East & North Africa,1995,"1,941","2,790",1,,,"2,474,666"
PYF,French Polynesia,East Asia & Pacific,1995,,,,,,"215,196"
QAT,Qatar,Middle East & North Africa,1995,,,,,,"513,455"
ROU,Romania,Europe & Central Asia,1995,"4,908","10,443",3,,,"22,684,270"
RUS,Russia,Europe & Central Asia,1995,"5,919","12,813",,,,"148,375,726"
RWA,Rwanda,Sub-Saharan Africa,1995,280,681,,,,"5,928,078"
